Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
137,Cliff Brumbaugh,2002-01-15,Colorado Rockies,COL,28,-0.8,1,21,46,6,10,1,4,0,3,.217,.265,.326,.591,,,,,,,,,,,,
138,Jason Jacome,2002-01-15,Houston Astros,ARI,31,,7,,,,,,,,,,,,,,,,,,,,,,,,
139,Kurt Abbott,2002-01-14,Minnesota Twins,ATL,33,-0.9,9,702,2044,273,523,62,242,22,133,.256,.305,.423,.728,,,,,,,,,,,,
140,Jeff Branson,2002-01-14,Los Angeles Dodgers,LAD,35,-0.1,9,694,1555,173,383,34,156,9,122,.246,.300,.372,.672,,,,,,,,,,,,
141,Chris Donnels,2002-01-14,Arizona Diamondbacks,LAD,36,0.3,7,376,718,78,167,14,70,5,93,.233,.320,.347,.667,0,0,0.00,0.000,1,0,0,0.1,0,0,0,0
142,Shigetoshi Hasegawa,2002-01-14,Seattle Mariners,ANA,33,2.4,5,287,1,0,0,0,0,0,0,.000,.000,.000,.000,30,27,3.85,1.370,287,8,16,442.1,436,58,170,300
143,Darren Lewis,2002-01-14,Chicago Cubs,BOS,34,1.5,12,1296,4002,600,1002,27,335,246,396,.250,.323,.322,.645,,,,,,,,,,,,
144,Brian Bohanon,2002-01-11,Cincinnati Reds,COL,33,6.4,12,309,231,16,53,3,30,0,10,.229,.259,.325,.584,54,60,5.19,1.539,304,157,2,1116.0,1229,142,489,671
145,Joe Davenport,2002-01-11,Montreal Expos,COL,26,0.2,2,10,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,0,0,3.00,1.500,10,0,0,12.0,9,1,9,8
146,Ryan Glynn,2002-01-11,Milwaukee Brewers,TEX,27,-0.5,3,41,3,0,0,0,0,0,0,.000,.000,.000,.000,8,16,6.42,1.790,41,35,0,189.1,237,32,102,87
147,Jimmy Haynes,2002-01-11,Cincinnati Reds,MIL,29,-0.0,7,171,125,9,16,0,4,0,4,.128,.155,.176,.331,46,64,5.48,1.632,170,147,1,894.2,1004,110,456,579
148,Todd Jones,2002-01-11,Colorado Rockies,MIN,34,2.4,9,528,11,1,3,0,0,0,0,.273,.273,.364,.636,35,33,3.62,1.421,528,0,183,598.2,566,52,285,540
149,Lyle Mouton,2002-01-11,Montreal Expos,HOU,33,-0.3,7,328,805,96,225,22,116,9,71,.280,.339,.420,.759,,,,,,,,,,,,
150,Randy Velarde,2002-01-11,Oakland Athletics,NYY,39,11.1,15,1217,4111,611,1141,98,437,75,448,.278,.353,.410,.764,,,,,,,,,,,,
151,Paul Byrd,2002-01-10,Kansas City Royals,KCR,31,1.7,7,164,109,9,16,0,6,0,7,.147,.212,.147,.359,35,35,4.59,1.376,163,75,0,564.2,572,83,205,344
152,Angel Pena,2002-01-10,San Francisco Giants,LAD,27,0.1,3,71,187,18,39,5,23,0,13,.209,.256,.326,.582,,,,,,,,,,,,
153,Rick White,2002-01-10,Colorado Rockies,NYM,33,3.2,6,282,39,1,4,0,1,0,0,.103,.125,.128,.253,22,31,3.93,1.360,280,18,11,476.1,497,44,151,305
154,Emil Brown,2002-01-09,Tampa Bay Devil Rays,SDP,27,-0.6,5,209,404,52,81,8,38,20,38,.200,.289,.302,.591,,,,,,,,,,,,
155,Quinton McCracken,2002-01-09,Arizona Diamondbacks,MIN,31,-1.9,7,508,1466,228,411,14,158,70,140,.280,.343,.380,.723,,,,,,,,,,,,
156,Mark Wohlers,2002-01-09,Cleveland Indians,NYY,32,0.3,11,469,12,1,1,0,0,0,0,.083,.083,.083,.167,36,25,3.85,1.380,469,0,112,482.0,419,31,246,511
